xo,xa,xb,lon,lat,roll,Psc,Psn,Pbc,Pbn,Rsc,Rsn,Rbc,Rbn,crls,crlb,e1,sh,h0,h1,Q1
499.0,0.0,999.0,-58.06420820521535,75.89369974108502,0.0,-78.51007283752476,-81.01056381102575,-163.46818179179218,-164.6614113209141,-7.893154367822303,-1.592806316252974,-20.40634180314516,-8.649365487537361,0.8899196266863932,0.9887278756579468,8.579980445567928,0.07686986102564104,478.8626844560173,1377.2653608510743,-27.545307217021488
749.0,250.0,1249.0,-58.066494730623546,75.89433197516223,0.0,-78.83122011728337,-80.99007764364751,-163.567944192546,-164.8683649486078,-8.211852529016813,-1.5686464710285866,-21.4628511567703,-9.621786361322002,0.9410833721344468,0.996918159349257,7.979062374296445,0.07840725824615387,478.997726103766,1364.2000221494004,-27.28400044298801
999.0,500.0,1499.0,-58.068784185902445,75.8949638920437,0.0,-78.98771241234189,-79.60864761097523,-163.1256782684371,-162.47418100258685,-8.368072742413084,-0.18680831586291854,-20.45692780135116,-8.632924239642737,0.869361117292849,0.9938028570540726,8.889467271738038,0.08916903878974365,479.01273073129363,1336.830511297922,-26.73661022595844
1249.0,750.0,1749.0,-58.071077501682275,75.89559527385161,0.0,-76.8939344832813,-80.94449169209422,-162.478012589604,-159.73091255219822,-6.266226931876022,-1.510550574767209,-20.535311980409038,-4.674656074015911,0.8244903452929201,0.9888293641824625,13.045664572354022,0.06764547770256409,479.457868014613,1300.8060211860272,-26.016120423720544
1499.0,1000.0,1999.0,-58.073375293626405,75.89622597897028,0.0,-78.885523993663,-78.82718387545799,-160.5701996896556,-159.0732506238984,-8.25718220754874,0.6077085939324992,-19.51015302546132,-10.891279761591427,0.7676235934229413,0.9944142251021697,9.94490292652663,0.09378123045128213,479.49287881217737,1264.4837615832432,-25.289675231664862
1749.0,1250.0,2249.0,-58.075678115411826,75.89685589165184,0.0,-79.09049275956374,-79.02055149545413,-159.11101663781793,-156.40820394781994,-8.459523922899361,0.4182815497615406,-20.44270134559888,-7.119375796176146,0.8069880194023228,0.993192706240624,9.32118776455724,0.09378123045128213,479.63792354494285,1226.5378155109759,-24.530756310219516
1999.0,1500.0,2499.0,-58.07798598869488,75.8974850042833,0.0,-80.88884879769944,-78.21692819397116,-157.47958937154056,-154.564548227362,-10.257789387255098,1.222040711914451,-20.839619178339717,-7.523708099995031,0.8509009629404964,0.9947445592517008,7.39387672820071,0.11069259987692322,479.64292508745154,1195.156843970157,-23.90313687940314
2249.0,1750.0,2749.0,-58.08029821676398,75.89811345503712,0.0,-80.6667366643421,-79.37163159959661,-156.7239081906981,-151.83663925581243,-10.025358029094622,0.08281614349368513,-23.277146482328412,-5.091018755077792,0.945966347092477,0.989100529081081,6.769809087419812,0.10146821655384626,480.2131009334988,1159.7559843015626,-23.19511968603125
2499.0,2000.0,2999.0,-58.08261387686933,75.89874138542993,0.0,-79.67237700067957,-79.79100329614167,-152.9703134304188,-150.25137827275705,-9.021775755231387,-0.3227216377502922,-20.67660001328919,-5.3348191215358165,0.9378803458936807,0.9879237094659721,7.703866136514972,0.0922438332307693,480.7232582694365,1127.3047280809967,-22.546094561619935
2749.0,2250.0,3249.0,-58.08493173401156,75.89936893513686,0.0,-78.5512487877696,-80.59418493399994,-152.2764434189777,-146.750865405887,-7.886380843032878,-1.1045032266757635,-21.15635909286167,-1.988223455266072,0.9296486191473967,0.9917969531208991,8.968728114538635,0.0799446554666667,481.5135019858913,1098.7947038961934,-21.97589407792387
2999.0,2500.0,3499.0,-58.087250818507535,75.89999622755826,0.0,-77.68118030489569,-80.22879035788785,-148.51049455999967,-147.0128209846307,-7.000988239468569,-0.716122469528065,-16.800000910944565,-5.400071005780629,0.9863338762359417,0.9882917773044904,11.471123691840564,0.07686986102564104,482.36376421245706,1073.1752910904565,-21.463505821809132
3249.0,2750.0,3749.0,-58.089570861346836,75.9006233160636,0.0,-77.63982292396244,-81.79527800255855,-147.54879561918918,-147.43073991635458,-6.956209160762937,-2.2774775675401853,-18.730081838687564,-5.797003136601178,0.9556339345305325,0.978969558068542,10.000805851835723,0.06610808048205126,482.5538228278085,1058.7784171180112,-21.175568342360226
3499.0,3000.0,3999.0,-58.09189196982738,75.90125024682992,0.0,-77.94009799712495,-82.02504971035339,-146.48237698141997,-147.42595281240364,-7.259365574007005,-2.5115712854573675,-19.000351547974375,-7.1722845526496535,0.9558948947046433,0.9979215028151711,9.081547985463079,0.06610808048205126,482.3937734675144,1042.8393219141433,-20.856786438282864
3749.0,3250.0,4249.0,-58.09421448272128,75.90187707692499,0.0,-77.33408533096016,-83.30540673391101,-146.34686060416897,-145.9711313152685,-6.662092814440017,-3.8050381689117083,-19.733052941241276,-5.159736659503178,0.9611294666518362,0.9845130576813838,9.886926079350742,0.05688369715897433,481.90862384412287,1028.8104460861175,-20.57620892172235
3999.0,3500.0,4499.0,-58.09653873077425,75.90250381525975,0.0,-78.14446878877,-83.52575904991228,-146.72882534615235,-142.95742943459405,-7.48655067530803,-4.046502089500235,-21.74625562826302,-3.0782844546008734,0.9933575002547776,0.9761140675667419,7.9442952761848895,0.05995849159999997,481.1283832126863,1013.0651819659568,-20.261303639319138
4249.0,3750.0,4749.0,-58.09886495431322,75.90313042230889,0.0,-78.71711006753894,-83.1404779168439,-143.98628729153114,-142.95447515913025,-8.071390160580412,-3.6795182661870256,-20.149609473326787,-4.715092819615013,0.9960915854954746,0.9776999249264997,7.086478507382074,0.06457068326153843,480.4531749739442,994.3703143977409,-19.887406287954818
4499.0,4000.0,4999.0,-58.10119347919612,75.90375683391643,0.0,-78.26265777452407,-81.75799514486586,-142.27429436654108,-143.2648993130391,-7.61558166501386,-2.2950011903814413,-17.575592998636314,-6.362442747424419,0.978407171233165,0.9844290142201483,8.616459753306478,0.07072027214358974,480.5281981115826,981.5886994562964,-19.631773989125925
