xo,xa,xb,lon,lat,roll,Psc,Psn,Pbc,Pbn,Rsc,Rsn,Rbc,Rbn,crls,crlb,e1,sh,h0,h1,Q1
499.0,0.0,999.0,-60.696300978136264,77.42842878381764,-0.0008726946563818302,-86.6967644914014,-95.46863548441931,-159.17175711357336,-150.29036363478866,-16.32681902453693,-16.421337493903515,-14.87024639411869,10.029530157683107,0.9313562550936199,0.90634329198701,1.9257904871837748,0.04304712217435896,465.4385443613986,1525.841100247079,-30.51682200494158
749.0,250.0,1249.0,-60.696995406954066,77.42756079033609,-0.0053180895772021435,-85.79632220434611,-95.90540725337402,-153.8935922786742,-148.73963677226752,-15.41173510552785,-16.836146814927528,-9.84886324145442,11.401857270804069,0.966985113176692,0.9786951178724723,2.049393051889286,0.03689753329230768,466.2237865353448,1519.023302562897,-30.38046605125794
999.0,500.0,1499.0,-60.6976899468153,77.42669306125396,-0.009025021403504509,-85.25989456309676,-95.58044899443028,-150.16411364444647,-147.54232279637452,-14.855761621502229,-16.481869791819378,-6.285672489976163,12.490366759022304,0.9809351816905769,0.9619020555786572,2.1513713789006523,0.03689753329230768,467.2741104622789,1514.160670592934,-30.283213411858682
1249.0,750.0,1749.0,-60.69838381907346,77.42582556888829,-0.011539310963119932,-84.89031651107447,-96.36660413405914,-148.38100953288742,-147.54170163423572,-14.465104796175506,-17.23640677149159,-4.639162432161438,12.388909102884643,0.983026382352592,0.9756687656356395,2.211225826093354,0.032285341630769224,468.40946061186935,1510.615528163061,-30.212310563261223
1499.0,1000.0,1999.0,-60.69907639790011,77.42495828563578,-0.012621544086747106,-84.71261690591913,-95.6752943954763,-150.28138296492384,-146.45033439536246,-14.274986183233228,-16.52646852122836,-6.629020164966483,13.417181070396087,0.985859725861742,0.9445631693012091,2.2578775123591686,0.03382273885128204,469.07966730810364,1507.9917856674524,-30.15983571334905
1749.0,1250.0,2249.0,-60.699767302661066,77.42409119066356,-0.012218459236046815,-84.6888299663238,-93.83049575868529,-151.25567006312664,-147.87778267530393,-14.242868075940699,-14.66917313289156,-7.711263113616003,11.889172985844425,0.9563177384571754,0.9415993424176876,2.3024125984756965,0.04150972495384614,469.5298061339325,1504.564627375427,-30.091292547508544
1999.0,1500.0,2499.0,-60.70045648139055,77.42322427026004,-0.010589509527422753,-85.00883645323103,-94.23701965320338,-152.88224912546642,-145.24325836602281,-14.561116781871048,-15.073060355944294,-9.50291090150049,14.315104311789323,0.9699795657652338,0.9678590108327906,2.2325084661061325,0.04150972495384614,469.62483544160716,1501.5785050274294,-30.031570100548592
2249.0,1750.0,2749.0,-60.701144191145836,77.42235752018291,-0.008032007649782782,-85.2506548720269,-94.05643391828794,-153.6270385737334,-146.1416351988888,-14.798403617019947,-14.8856772455584,-10.367872557212266,13.26232781793744,0.9859236099263904,0.9497566480248814,2.1911062439019635,0.04304712217435896,469.86991102455465,1499.1851125152443,-29.983702250304884
2499.0,2000.0,2999.0,-60.701830917871284,77.42149094572085,-0.004922351503702373,-85.68095757315825,-93.87444418056512,-152.23468825163786,-145.63381382769472,-15.224546741263769,-14.697448142504296,-9.105432129508603,13.581630217517706,0.9876628578871479,0.942221945475284,2.115720222480112,0.04458451939487178,470.0949804374654,1496.9406047485825,-29.93881209497165
2749.0,2250.0,3249.0,-60.70251729486734,77.42062455898932,-0.0018634320438188363,-85.91061991259438,-95.53301118894905,-152.78369029049486,-146.4529116745184,-15.449220216416382,-16.348531854462934,-9.728512610729073,12.652961500104622,0.9855240121314015,0.9378322603077226,2.0547886477896276,0.03997232773333332,470.36506373295725,1496.1259523677757,-29.922519047355514
