Latitude,Longitude,Start_Depth,Stop_Depth,Midpoint_Depth,Density,Error,Method,Citation
72.57758,-38.46907,0,0.08,0.04,0.334,0.052,4,48
72.57758,-38.46907,0.09,0.13,0.11,0.267,0.052,4,48
72.57758,-38.46907,0.14,0.18,0.16,0.309,0.052,4,48
72.57758,-38.46907,0.19,0.24,0.215,0.35,0.052,4,48
72.57758,-38.46907,0.25,0.33,0.29,0.31,0.052,4,48
72.57758,-38.46907,0.34,0.44,0.39,0.293,0.052,4,48
72.57758,-38.46907,0.45,0.52,0.485,0.317,0.052,4,48
72.57758,-38.46907,0.53,0.59,0.56,0.287,0.052,4,48
72.57758,-38.46907,0.6,0.7,0.65,0.352,0.052,4,48
72.57758,-38.46907,0.71,0.81,0.76,0.235,0.052,4,48
72.57758,-38.46907,0.82,0.9,0.86,0.349,0.052,4,48
72.57758,-38.46907,0.91,1,0.955,0.352,0.052,4,48
72.57758,-38.46907,1.01,1.1,1.055,0.363,0.052,4,48
72.57758,-38.46907,1.11,1.2,1.155,0.362,0.052,4,48
72.57758,-38.46907,1.21,1.3,1.255,0.36,0.052,4,48
72.57758,-38.46907,1.31,1.39,1.35,0.316,0.052,4,48
72.57758,-38.46907,1.4,1.51,1.455,0.335,0.052,4,48
72.57758,-38.46907,1.52,1.6,1.56,0.264,0.052,4,48
72.57758,-38.46907,1.61,1.7,1.655,0.314,0.052,4,48
72.57758,-38.46907,1.71,1.8,1.755,0.338,0.052,4,48
72.57758,-38.46907,1.81,1.9,1.855,0.28,0.052,4,48
72.57758,-38.46907,1.91,2.03,1.97,0.319,0.052,4,48
72.57758,-38.46907,2.04,2.1,2.07,0.373,0.052,4,48
72.57758,-38.46907,2.11,2.2,2.155,0.329,0.052,4,48
72.57758,-38.46907,2.21,2.3,2.255,0.366,0.052,4,48
72.57758,-38.46907,2.31,2.4,2.355,0.38,0.052,4,48
72.57758,-38.46907,2.41,2.5,2.455,0.382,0.052,4,48
72.57758,-38.46907,2.51,2.6,2.555,0.314,0.052,4,48
72.57758,-38.46907,2.61,2.7,2.655,0.381,0.052,4,48
72.57758,-38.46907,2.71,2.8,2.755,0.285,0.052,4,48
72.57758,-38.46907,2.81,2.9,2.855,0.311,0.052,4,48
72.57758,-38.46907,2.91,3,2.955,0.409,0.052,4,48
72.57758,-38.46907,3.01,3.1,3.055,0.385,0.052,4,48
72.57758,-38.46907,3.11,3.2,3.155,0.335,0.052,4,48
72.57758,-38.46907,3.21,3.3,3.255,0.265,0.052,4,48
