Latitude,Longitude,Start_Depth,Stop_Depth,Midpoint_Depth,Density,Error,Method,Citation
77.25429,-49.23077,1.99723,0.00255,0.99989,0.3497,-9999,10,25
77.25429,-49.23077,0.00255,0.00268,0.002615,0.3526,-9999,10,25
77.25429,-49.23077,0.00268,0.0028,0.00274,0.3542,-9999,10,25
77.25429,-49.23077,0.0028,0.00293,0.002865,0.3491,-9999,10,25
77.25429,-49.23077,0.00293,0.00306,0.002995,0.3489,-9999,10,25
77.25429,-49.23077,0.00306,0.00318,0.00312,0.3493,-9999,10,25
77.25429,-49.23077,0.00318,0.00331,0.003245,0.3492,-9999,10,25
77.25429,-49.23077,0.00331,0.00344,0.003375,0.3496,-9999,10,25
77.25429,-49.23077,0.00344,0.00357,0.003505,0.3484,-9999,10,25
77.25429,-49.23077,0.00357,0.0037,0.003635,0.3452,-9999,10,25
77.25429,-49.23077,0.0037,0.00382,0.00376,0.3446,-9999,10,25
77.25429,-49.23077,0.00382,0.00395,0.003885,0.3444,-9999,10,25
77.25429,-49.23077,0.00395,0.00408,0.004015,0.3449,-9999,10,25
77.25429,-49.23077,0.00408,0.0042,0.00414,0.3452,-9999,10,25
77.25429,-49.23077,0.0042,0.00433,0.004265,0.3435,-9999,10,25
77.25429,-49.23077,0.00433,0.00446,0.004395,0.341,-9999,10,25
77.25429,-49.23077,0.00446,0.00459,0.004525,0.342,-9999,10,25
77.25429,-49.23077,0.00459,0.00471,0.00465,0.3401,-9999,10,25
77.25429,-49.23077,0.00471,0.00484,0.004775,0.3406,-9999,10,25
77.25429,-49.23077,0.00484,0.00497,0.004905,0.3416,-9999,10,25
77.25429,-49.23077,0.00497,0.0051,0.005035,0.3431,-9999,10,25
77.25429,-49.23077,0.0051,0.00522,0.00516,0.3418,-9999,10,25
77.25429,-49.23077,0.00522,0.00535,0.005285,0.3436,-9999,10,25
77.25429,-49.23077,0.00535,0.00548,0.005415,0.3469,-9999,10,25
77.25429,-49.23077,0.00548,0.00561,0.005545,0.3526,-9999,10,25
77.25429,-49.23077,0.00561,0.00573,0.00567,0.3586,-9999,10,25
77.25429,-49.23077,0.00573,0.00586,0.005795,0.3613,-9999,10,25
77.25429,-49.23077,0.00586,0.00599,0.005925,0.3612,-9999,10,25
77.25429,-49.23077,0.00599,0.00612,0.006055,0.3598,-9999,10,25
77.25429,-49.23077,0.00612,0.00624,0.00618,0.3587,-9999,10,25
77.25429,-49.23077,0.00624,0.00637,0.006305,0.3568,-9999,10,25
77.25429,-49.23077,0.00637,0.0065,0.006435,0.3546,-9999,10,25
77.25429,-49.23077,0.0065,0.00662,0.00656,0.3541,-9999,10,25
77.25429,-49.23077,0.00662,0.00675,0.006685,0.3534,-9999,10,25
77.25429,-49.23077,0.00675,0.00688,0.006815,0.3536,-9999,10,25
77.25429,-49.23077,0.00688,0.00701,0.006945,0.3536,-9999,10,25
77.25429,-49.23077,0.00701,0.00714,0.007075,0.3539,-9999,10,25
77.25429,-49.23077,0.00714,0.00726,0.0072,0.3547,-9999,10,25
77.25429,-49.23077,0.00726,0.00739,0.007325,0.3535,-9999,10,25
77.25429,-49.23077,0.00739,0.00752,0.007455,0.3539,-9999,10,25
77.25429,-49.23077,0.00752,0.00764,0.00758,0.354,-9999,10,25
77.25429,-49.23077,0.00764,0.00777,0.007705,0.3522,-9999,10,25
77.25429,-49.23077,0.00777,0.0079,0.007835,0.3543,-9999,10,25
77.25429,-49.23077,0.0079,0.00803,0.007965,0.3551,-9999,10,25
77.25429,-49.23077,0.00803,0.00815,0.00809,0.3555,-9999,10,25
77.25429,-49.23077,0.00815,0.00828,0.008215,0.3554,-9999,10,25
77.25429,-49.23077,0.00828,0.00841,0.008345,0.3542,-9999,10,25
77.25429,-49.23077,0.00841,0.00854,0.008475,0.3559,-9999,10,25
77.25429,-49.23077,0.00854,0.00866,0.0086,0.3557,-9999,10,25
77.25429,-49.23077,0.00866,0.00879,0.008725,0.3566,-9999,10,25
77.25429,-49.23077,0.00879,0.00892,0.008855,0.3564,-9999,10,25
77.25429,-49.23077,0.00892,0.00905,0.008985,0.3552,-9999,10,25
77.25429,-49.23077,0.00905,0.00917,0.00911,0.3549,-9999,10,25
77.25429,-49.23077,0.00917,0.0093,0.009235,0.3559,-9999,10,25
77.25429,-49.23077,0.0093,0.00943,0.009365,0.3557,-9999,10,25
77.25429,-49.23077,0.00943,0.00956,0.009495,0.3557,-9999,10,25
77.25429,-49.23077,0.00956,0.00968,0.00962,0.3546,-9999,10,25
77.25429,-49.23077,0.00968,0.00981,0.009745,0.3549,-9999,10,25
77.25429,-49.23077,0.00981,0.00994,0.009875,0.3539,-9999,10,25
77.25429,-49.23077,0.00994,0.01006,0.01,0.3533,-9999,10,25
77.25429,-49.23077,0.01006,0.01019,0.010125,0.3523,-9999,10,25
77.25429,-49.23077,0.01019,0.01032,0.010255,0.353,-9999,10,25
77.25429,-49.23077,0.01032,0.01045,0.010385,0.3529,-9999,10,25
77.25429,-49.23077,0.01045,0.01058,0.010515,0.354,-9999,10,25
77.25429,-49.23077,0.01058,0.0107,0.01064,0.3543,-9999,10,25
77.25429,-49.23077,0.0107,0.01083,0.010765,0.3552,-9999,10,25
77.25429,-49.23077,0.01083,0.01096,0.010895,0.3563,-9999,10,25
77.25429,-49.23077,0.01096,0.01108,0.01102,0.3572,-9999,10,25
77.25429,-49.23077,0.01108,0.01121,0.011145,0.3567,-9999,10,25
77.25429,-49.23077,0.01121,0.01134,0.011275,0.3549,-9999,10,25
77.25429,-49.23077,0.01134,0.01147,0.011405,0.3558,-9999,10,25
77.25429,-49.23077,0.01147,0.01159,0.01153,0.356,-9999,10,25
77.25429,-49.23077,0.01159,0.01172,0.011655,0.3557,-9999,10,25
77.25429,-49.23077,0.01172,0.01185,0.011785,0.3566,-9999,10,25
77.25429,-49.23077,0.01185,0.01198,0.011915,0.3565,-9999,10,25
77.25429,-49.23077,0.01198,0.0121,0.01204,0.3548,-9999,10,25
77.25429,-49.23077,0.0121,0.01223,0.012165,0.3554,-9999,10,25
77.25429,-49.23077,0.01223,0.01236,0.012295,0.3558,-9999,10,25
77.25429,-49.23077,0.01236,0.01249,0.012425,0.3546,-9999,10,25
77.25429,-49.23077,0.01249,0.01261,0.01255,0.3554,-9999,10,25
77.25429,-49.23077,0.01261,0.01274,0.012675,0.3542,-9999,10,25
77.25429,-49.23077,0.01274,0.01287,0.012805,0.3544,-9999,10,25
77.25429,-49.23077,0.01287,0.013,0.012935,0.3548,-9999,10,25
77.25429,-49.23077,0.013,0.01312,0.01306,0.3543,-9999,10,25
77.25429,-49.23077,0.01312,0.01325,0.013185,0.3546,-9999,10,25
77.25429,-49.23077,0.01325,0.01338,0.013315,0.3548,-9999,10,25
77.25429,-49.23077,0.01338,0.0135,0.01344,0.3548,-9999,10,25
77.25429,-49.23077,0.0135,0.01363,0.013565,0.3534,-9999,10,25
77.25429,-49.23077,0.01363,0.01376,0.013695,0.3538,-9999,10,25
77.25429,-49.23077,0.01376,0.01389,0.013825,0.3533,-9999,10,25
77.25429,-49.23077,0.01389,0.01402,0.013955,0.354,-9999,10,25
77.25429,-49.23077,0.01402,0.01414,0.01408,0.3542,-9999,10,25
77.25429,-49.23077,0.01414,0.01427,0.014205,0.3535,-9999,10,25
77.25429,-49.23077,0.01427,0.0144,0.014335,0.3545,-9999,10,25
77.25429,-49.23077,0.0144,0.01452,0.01446,0.3551,-9999,10,25
77.25429,-49.23077,0.01452,0.01465,0.014585,0.3536,-9999,10,25
77.25429,-49.23077,0.01465,0.01478,0.014715,0.3543,-9999,10,25
77.25429,-49.23077,0.01478,0.01491,0.014845,0.3549,-9999,10,25
77.25429,-49.23077,0.01491,0.01503,0.01497,0.3538,-9999,10,25
77.25429,-49.23077,0.01503,0.01516,0.015095,0.3545,-9999,10,25
77.25429,-49.23077,0.01516,0.01529,0.015225,0.3536,-9999,10,25
77.25429,-49.23077,0.01529,0.01542,0.015355,0.3538,-9999,10,25
77.25429,-49.23077,0.01542,0.01554,0.01548,0.3536,-9999,10,25
77.25429,-49.23077,0.01554,0.01567,0.015605,0.3539,-9999,10,25
77.25429,-49.23077,0.01567,0.0158,0.015735,0.3546,-9999,10,25
77.25429,-49.23077,0.0158,0.01593,0.015865,0.3547,-9999,10,25
77.25429,-49.23077,0.01593,0.01605,0.01599,0.3547,-9999,10,25
77.25429,-49.23077,0.01605,0.01618,0.016115,0.3548,-9999,10,25
77.25429,-49.23077,0.01618,0.01631,0.016245,0.3545,-9999,10,25
77.25429,-49.23077,0.01631,0.01644,0.016375,0.3559,-9999,10,25
77.25429,-49.23077,0.01644,0.01656,0.0165,0.3555,-9999,10,25
77.25429,-49.23077,0.01656,0.01669,0.016625,0.3558,-9999,10,25
77.25429,-49.23077,0.01669,0.01682,0.016755,0.3564,-9999,10,25
77.25429,-49.23077,0.01682,0.01694,0.01688,0.355,-9999,10,25
77.25429,-49.23077,0.01694,0.01707,0.017005,0.3559,-9999,10,25
77.25429,-49.23077,0.01707,0.0172,0.017135,0.3568,-9999,10,25
77.25429,-49.23077,0.0172,0.01733,0.017265,0.3578,-9999,10,25
77.25429,-49.23077,0.01733,0.01745,0.01739,0.3562,-9999,10,25
77.25429,-49.23077,0.01745,0.01758,0.017515,0.357,-9999,10,25
77.25429,-49.23077,0.01758,0.01771,0.017645,0.3575,-9999,10,25
77.25429,-49.23077,0.01771,0.01784,0.017775,0.3576,-9999,10,25
77.25429,-49.23077,0.01784,0.01796,0.0179,0.3573,-9999,10,25
77.25429,-49.23077,0.01796,0.01809,0.018025,0.3562,-9999,10,25
