Latitude,Longitude,Start_Depth,Stop_Depth,Midpoint_Depth,Density,Error,Method,Citation
66.985283,-44.3936,0,0.09,0.045,0.362,0.052,4,45
66.985283,-44.3936,0.1,0.19,0.145,0.39,0.052,4,45
66.985283,-44.3936,0.2,0.29,0.245,0.353,0.052,4,45
66.985283,-44.3936,0.3,0.39,0.345,0.316,0.052,4,45
66.985283,-44.3936,0.4,0.59,0.495,0.381,0.052,4,45
66.985283,-44.3936,0.6,0.69,0.645,0.344,0.052,4,45
66.985283,-44.3936,0.7,0.79,0.745,0.325,0.052,4,45
66.985283,-44.3936,0.8,0.89,0.845,0.344,0.052,4,45
66.985283,-44.3936,0.9,0.99,0.945,0.39,0.052,4,45
66.985283,-44.3936,1,1.09,1.045,0.538,0.052,4,45
66.985283,-44.3936,1.1,1.19,1.145,0.565,0.052,4,45
66.985283,-44.3936,1.2,1.29,1.245,0.462,0.052,4,45
66.985283,-44.3936,1.3,1.4,1.35,0.605,0.052,4,45
66.985283,-44.3936,1.41,1.49,1.45,0.515,0.052,4,45
66.985283,-44.3936,1.5,1.6,1.55,0.468,0.052,4,45
66.985283,-44.3936,1.61,1.69,1.65,0.471,0.052,4,45
66.985283,-44.3936,1.7,1.79,1.745,0.896,0.052,4,45
66.985283,-44.3936,1.8,1.89,1.845,0.424,0.052,4,45
66.985283,-44.3936,1.9,1.99,1.945,0.398,0.052,4,45
66.985283,-44.3936,2,2.09,2.045,0.463,0.052,4,45
66.985283,-44.3936,2.1,2.19,2.145,0.566,0.052,4,45
66.985283,-44.3936,2.2,2.29,2.245,0.516,0.052,4,45
66.985283,-44.3936,2.3,2.39,2.345,0.54,0.052,4,45
66.985283,-44.3936,2.4,2.5,2.45,0.676,0.052,4,45
66.985283,-44.3936,2.51,2.59,2.55,0.471,0.052,4,45
66.985283,-44.3936,2.6,2.69,2.645,0.454,0.052,4,45
66.985283,-44.3936,2.7,2.79,2.745,0.424,0.052,4,45
66.985283,-44.3936,2.8,2.89,2.845,0.458,0.052,4,45
66.985283,-44.3936,2.9,2.99,2.945,0.466,0.052,4,45
