Latitude,Longitude,Start_Depth,Stop_Depth,Midpoint_Depth,Density,Error,Method,Citation
72.57742,-38.46955,0,0.1,0.1,0.269,0.052,4,48
72.57742,-38.46955,0.11,0.2,0.2,0.333,0.052,4,48
72.57742,-38.46955,0.21,0.3,0.3,0.328,0.052,4,48
72.57742,-38.46955,0.31,0.5,0.5,0.336,0.052,4,48
72.57742,-38.46955,0.51,0.6,0.6,0.337,0.052,4,48
72.57742,-38.46955,0.61,0.7,0.7,0.298,0.052,4,48
72.57742,-38.46955,0.71,0.8,0.8,0.31,0.052,4,48
72.57742,-38.46955,0.81,0.9,0.9,0.274,0.052,4,48
72.57742,-38.46955,0.91,1,1,0.294,0.052,4,48
72.57742,-38.46955,1.01,1.1,1.1,0.353,0.052,4,48
72.57742,-38.46955,1.11,1.2,1.2,0.337,0.052,4,48
72.57742,-38.46955,1.21,1.3,1.3,0.314,0.052,4,48
72.57742,-38.46955,1.31,1.4,1.4,0.337,0.052,4,48
72.57742,-38.46955,1.41,1.5,1.5,0.335,0.052,4,48
72.57742,-38.46955,1.51,1.6,1.6,0.329,0.052,4,48
72.57742,-38.46955,1.61,1.7,1.7,0.374,0.052,4,48
72.57742,-38.46955,1.71,1.8,1.8,0.313,0.052,4,48
72.57742,-38.46955,1.81,1.9,1.9,0.321,0.052,4,48
72.57742,-38.46955,1.91,2,2,0.321,0.052,4,48
72.57742,-38.46955,2.01,2.1,2.1,0.288,0.052,4,48
72.57742,-38.46955,2.11,2.2,2.2,0.336,0.052,4,48
72.57742,-38.46955,2.21,2.3,2.3,0.32,0.052,4,48
72.57742,-38.46955,2.31,2.4,2.4,0.359,0.052,4,48
72.57742,-38.46955,2.41,2.5,2.5,0.349,0.052,4,48
72.57742,-38.46955,2.51,2.6,2.6,0.345,0.052,4,48
72.57742,-38.46955,2.61,2.7,2.7,0.337,0.052,4,48
72.57742,-38.46955,2.71,2.8,2.8,0.37,0.052,4,48
72.57742,-38.46955,2.81,2.9,2.9,0.361,0.052,4,48
72.57742,-38.46955,2.91,3,3,0.365,0.052,4,48
72.57742,-38.46955,3.01,3.1,3.1,0.362,0.052,4,48
72.57742,-38.46955,3.11,3.2,3.2,0.311,0.052,4,48
72.57742,-38.46955,3.21,3.3,3.3,0.309,0.052,4,48
72.57742,-38.46955,3.31,3.4,3.4,0.378,0.052,4,48
72.57742,-38.46955,3.41,3.5,3.5,0.321,0.052,4,48
72.57742,-38.46955,3.51,3.6,3.6,0.329,0.052,4,48
72.57742,-38.46955,3.61,3.7,3.7,0.402,0.052,4,48
72.57742,-38.46955,3.71,3.8,3.8,0.312,0.052,4,48
72.57742,-38.46955,3.81,3.9,3.9,0.386,0.052,4,48
72.57742,-38.46955,3.91,4,4,0.403,0.052,4,48
72.57742,-38.46955,4.01,4.1,4.1,0.386,0.052,4,48
72.57742,-38.46955,4.11,4.2,4.2,0.42,0.052,4,48
72.57742,-38.46955,4.21,4.3,4.3,0.419,0.052,4,48
72.57742,-38.46955,4.31,4.4,4.4,0.329,0.052,4,48
72.57742,-38.46955,4.41,4.5,4.5,0.37,0.052,4,48
72.57742,-38.46955,4.51,4.6,4.6,0.403,0.052,4,48
72.57742,-38.46955,4.61,4.7,4.7,0.436,0.052,4,48
72.57742,-38.46955,4.71,4.8,4.8,0.363,0.052,4,48
72.57742,-38.46955,4.81,4.9,4.9,0.452,0.052,4,48
72.57742,-38.46955,4.91,5,5,0.394,0.052,4,48
72.57742,-38.46955,5.01,5.1,5.1,0.386,0.052,4,48
72.57742,-38.46955,5.11,5.2,5.2,0.378,0.052,4,48
72.57742,-38.46955,5.21,5.3,5.3,0.411,0.052,4,48
72.57742,-38.46955,5.31,5.4,5.4,0.378,0.052,4,48
72.57742,-38.46955,5.41,5.5,5.5,0.419,0.052,4,48
72.57742,-38.46955,5.51,5.6,5.6,0.436,0.052,4,48
72.57742,-38.46955,5.61,5.7,5.7,0.402,0.052,4,48
72.57742,-38.46955,5.71,5.8,5.8,0.386,0.052,4,48
72.57742,-38.46955,5.81,6,6,0.427,0.052,4,48
72.57742,-38.46955,6.01,6.1,6.1,0.452,0.052,4,48
72.57742,-38.46955,6.11,6.2,6.2,0.488,0.052,4,48
72.57742,-38.46955,6.21,6.3,6.3,0.444,0.052,4,48
72.57742,-38.46955,6.31,6.4,6.4,0.427,0.052,4,48
72.57742,-38.46955,6.41,6.5,6.5,0.452,0.052,4,48
72.57742,-38.46955,6.51,6.6,6.6,0.419,0.052,4,48
72.57742,-38.46955,6.61,6.8,6.8,0.452,0.052,4,48
72.57742,-38.46955,6.81,6.9,6.9,0.466,0.052,4,48
72.57742,-38.46955,6.91,7,7,0.427,0.052,4,48
72.57742,-38.46955,7.01,7.1,7.1,0.447,0.052,4,48
72.57742,-38.46955,7.11,7.2,7.2,0.466,0.052,4,48
72.57742,-38.46955,7.21,7.3,7.3,0.452,0.052,4,48
72.57742,-38.46955,7.31,7.4,7.4,0.477,0.052,4,48
72.57742,-38.46955,7.41,7.5,7.5,0.444,0.052,4,48
72.57742,-38.46955,7.51,7.6,7.6,0.447,0.052,4,48
72.57742,-38.46955,7.61,7.7,7.7,0.463,0.052,4,48
72.57742,-38.46955,7.71,7.8,7.8,0.46,0.052,4,48
72.57742,-38.46955,7.81,7.9,7.9,0.485,0.052,4,48
72.57742,-38.46955,7.91,8,8,0.468,0.052,4,48
72.57742,-38.46955,8.01,8.1,8.1,0.475,0.052,4,48
72.57742,-38.46955,8.11,8.2,8.2,0.477,0.052,4,48
72.57742,-38.46955,8.21,8.3,8.3,0.46,0.052,4,48
72.57742,-38.46955,8.31,8.5,8.5,0.485,0.052,4,48
72.57742,-38.46955,8.51,8.6,8.6,0.477,0.052,4,48
72.57742,-38.46955,8.61,8.7,8.7,0.497,0.052,4,48
72.57742,-38.46955,8.71,8.8,8.8,0.477,0.052,4,48
72.57742,-38.46955,8.81,8.9,8.9,0.485,0.052,4,48
72.57742,-38.46955,8.91,9,9,0.501,0.052,4,48
72.57742,-38.46955,9.01,9.1,9.1,0.539,0.052,4,48
72.57742,-38.46955,9.11,9.2,9.2,0.561,0.052,4,48
72.57742,-38.46955,9.21,9.4,9.4,0.493,0.052,4,48
72.57742,-38.46955,9.41,9.5,9.5,0.518,0.052,4,48
72.57742,-38.46955,9.51,9.6,9.6,0.51,0.052,4,48
72.57742,-38.46955,9.61,9.7,9.7,0.513,0.052,4,48
72.57742,-38.46955,9.71,9.8,9.8,0.46,0.052,4,48
72.57742,-38.46955,9.81,9.9,9.9,0.47,0.052,4,48
