Latitude,Longitude,Start_Depth,Stop_Depth,Midpoint_Depth,Density,Error,Method,Citation
77.4492,-50.539517,0,0.29,-9999,0.287339,-9999,4,11
77.4492,-50.539517,0.29,0.6,-9999,0.341471,-9999,4,11
77.4492,-50.539517,0.6,0.9,-9999,0.314096,-9999,4,11
77.4492,-50.539517,0.9,1.2,-9999,0.339127,-9999,4,11
77.4492,-50.539517,1.2,1.5,-9999,0.396455,-9999,4,11
77.4492,-50.539517,1.5,1.8,-9999,0.377884,-9999,4,11
77.4492,-50.539517,1.8,2.1,-9999,0.475585,-9999,4,11
77.4492,-50.539517,2.1,2.4,-9999,0.345586,-9999,4,11
77.4492,-50.539517,2.4,2.7,-9999,0.375462,-9999,4,11
77.4492,-50.539517,2.7,3,-9999,0.392418,-9999,4,11
77.4492,-50.539517,3,3.3,-9999,0.395648,-9999,4,11
77.4492,-50.539517,3.3,3.6,-9999,0.326208,-9999,4,11
77.4492,-50.539517,3.6,3.9,-9999,0.36335,-9999,4,11
77.4492,-50.539517,3.9,4.2,-9999,0.394033,-9999,4,11
77.4492,-50.539517,4.2,4.5,-9999,0.386766,-9999,4,11
77.4492,-50.539517,4.5,4.8,-9999,0.360928,-9999,4,11
77.4492,-50.539517,4.8,5.1,-9999,0.379499,-9999,4,11
77.4492,-50.539517,5.1,5.4,-9999,0.345586,-9999,4,11
77.4492,-50.539517,5.4,5.7,-9999,0.338319,-9999,4,11
77.4492,-50.539517,5.7,6,-9999,0.364965,-9999,4,11
77.4492,-50.539517,6,6.3,-9999,0.337512,-9999,4,11
77.4492,-50.539517,6.3,6.6,-9999,0.309251,-9999,4,11
77.4492,-50.539517,6.6,6.9,-9999,0.371425,-9999,4,11
77.4492,-50.539517,6.9,7.2,-9999,0.419064,-9999,4,11
77.4492,-50.539517,7.2,7.5,-9999,0.36981,-9999,4,11
77.4492,-50.539517,7.5,7.8,-9999,0.313289,-9999,4,11
77.4492,-50.539517,7.8,8.1,-9999,0.466703,-9999,4,11
77.4492,-50.539517,8.1,8.4,-9999,0.460244,-9999,4,11
