Latitude,Longitude,Start_Depth,Stop_Depth,Midpoint_Depth,Density,Error,Method,Citation
72.59622,-38.42197,-9999,-9999,0.015,0.1709,-9999,3,44
72.59622,-38.42197,-9999,-9999,0.045,0.2294,-9999,3,44
72.59622,-38.42197,-9999,-9999,0.075,0.2764,-9999,3,44
72.59622,-38.42197,-9999,-9999,0.105,0.3123,-9999,3,44
72.59622,-38.42197,-9999,-9999,0.135,0.3288,-9999,3,44
72.59622,-38.42197,-9999,-9999,0.165,0.3299,-9999,3,44
72.59622,-38.42197,-9999,-9999,0.195,0.3186,-9999,3,44
72.59622,-38.42197,-9999,-9999,0.225,0.3243,-9999,3,44
72.59622,-38.42197,-9999,-9999,0.255,0.3312,-9999,3,44
72.59622,-38.42197,-9999,-9999,0.285,0.3466,-9999,3,44
72.59622,-38.42197,-9999,-9999,0.315,0.3535,-9999,3,44
72.59622,-38.42197,-9999,-9999,0.345,0.3697,-9999,3,44
72.59622,-38.42197,-9999,-9999,0.375,0.3489,-9999,3,44
72.59622,-38.42197,-9999,-9999,0.405,0.3382,-9999,3,44
72.59622,-38.42197,-9999,-9999,0.435,0.3495,-9999,3,44
72.59622,-38.42197,-9999,-9999,0.465,0.3589,-9999,3,44
72.59622,-38.42197,-9999,-9999,0.495,0.3267,-9999,3,44
72.59622,-38.42197,-9999,-9999,0.525,0.3662,-9999,3,44
72.59622,-38.42197,-9999,-9999,0.555,0.3439,-9999,3,44
72.59622,-38.42197,-9999,-9999,0.585,0.337,-9999,3,44
72.59622,-38.42197,-9999,-9999,0.615,0.3122,-9999,3,44
72.59622,-38.42197,-9999,-9999,0.645,0.2421,-9999,3,44
72.59622,-38.42197,-9999,-9999,0.675,0.2395,-9999,3,44
72.59622,-38.42197,-9999,-9999,0.705,0.24,-9999,3,44
72.59622,-38.42197,-9999,-9999,0.735,0.2363,-9999,3,44
72.59622,-38.42197,-9999,-9999,0.765,0.2741,-9999,3,44
72.59622,-38.42197,-9999,-9999,0.795,0.2931,-9999,3,44
72.59622,-38.42197,-9999,-9999,0.825,0.346,-9999,3,44
72.59622,-38.42197,-9999,-9999,0.855,0.3708,-9999,3,44
72.59622,-38.42197,-9999,-9999,0.885,0.3688,-9999,3,44
72.59622,-38.42197,-9999,-9999,0.915,0.3525,-9999,3,44
72.59622,-38.42197,-9999,-9999,0.945,0.3707,-9999,3,44
72.59622,-38.42197,-9999,-9999,0.975,0.3591,-9999,3,44
72.59622,-38.42197,-9999,-9999,1.005,0.365,-9999,3,44
72.59622,-38.42197,-9999,-9999,1.035,0.3649,-9999,3,44
72.59622,-38.42197,-9999,-9999,1.065,0.3376,-9999,3,44
72.59622,-38.42197,-9999,-9999,1.095,0.3687,-9999,3,44
72.59622,-38.42197,-9999,-9999,1.125,0.3487,-9999,3,44
72.59622,-38.42197,-9999,-9999,1.155,0.3812,-9999,3,44
72.59622,-38.42197,-9999,-9999,1.185,0.3769,-9999,3,44
72.59622,-38.42197,-9999,-9999,1.215,0.3207,-9999,3,44
72.59622,-38.42197,-9999,-9999,1.245,0.3164,-9999,3,44
72.59622,-38.42197,-9999,-9999,1.275,0.3273,-9999,3,44
72.59622,-38.42197,-9999,-9999,1.305,0.2952,-9999,3,44
72.59622,-38.42197,-9999,-9999,1.335,0.3952,-9999,3,44
72.59622,-38.42197,-9999,-9999,1.365,0.3044,-9999,3,44
72.59622,-38.42197,-9999,-9999,1.395,0.2906,-9999,3,44
72.59622,-38.42197,-9999,-9999,1.425,0.2943,-9999,3,44
72.59622,-38.42197,-9999,-9999,1.455,0.3473,-9999,3,44
72.59622,-38.42197,-9999,-9999,1.485,0.3689,-9999,3,44
72.59622,-38.42197,-9999,-9999,1.515,0.3712,-9999,3,44
72.59622,-38.42197,-9999,-9999,1.545,0.341,-9999,3,44
72.59622,-38.42197,-9999,-9999,1.575,0.3502,-9999,3,44
72.59622,-38.42197,-9999,-9999,1.605,0.3744,-9999,3,44
72.59622,-38.42197,-9999,-9999,1.635,0.3927,-9999,3,44
72.59622,-38.42197,-9999,-9999,1.665,0.3941,-9999,3,44
72.59622,-38.42197,-9999,-9999,1.695,0.3548,-9999,3,44
72.59622,-38.42197,-9999,-9999,1.725,0.3889,-9999,3,44
72.59622,-38.42197,-9999,-9999,1.755,0.382,-9999,3,44
72.59622,-38.42197,-9999,-9999,1.785,0.3831,-9999,3,44
72.59622,-38.42197,-9999,-9999,1.815,0.4139,-9999,3,44
72.59622,-38.42197,-9999,-9999,1.845,0.397,-9999,3,44
72.59622,-38.42197,-9999,-9999,1.875,0.3654,-9999,3,44
72.59622,-38.42197,-9999,-9999,1.905,0.3236,-9999,3,44
72.59622,-38.42197,-9999,-9999,1.935,0.3088,-9999,3,44
72.59622,-38.42197,-9999,-9999,1.965,0.3466,-9999,3,44
72.59622,-38.42197,-9999,-9999,1.995,0.3596,-9999,3,44
