Latitude,Longitude,Start_Depth,Stop_Depth,Midpoint_Depth,Density,Error,Method,Citation
76.71337,-45.27375,1.99564,1.99577,1.995705,0.4108,-9999,10,25
76.71337,-45.27375,1.99577,1.99589,1.99583,0.4101,-9999,10,25
76.71337,-45.27375,1.99589,1.99602,1.995955,0.4078,-9999,10,25
76.52426,-44.78786,1.99602,0.0024,0.99921,0.2918,-9999,10,25
76.52426,-44.78786,0.0024,0.00253,0.002465,0.2947,-9999,10,25
76.52426,-44.78786,0.00253,0.00266,0.002595,0.2971,-9999,10,25
76.52426,-44.78786,0.00266,0.00278,0.00272,0.293,-9999,10,25
76.52426,-44.78786,0.00278,0.00291,0.002845,0.2886,-9999,10,25
76.52426,-44.78786,0.00291,0.00304,0.002975,0.2832,-9999,10,25
76.52426,-44.78786,0.00304,0.00316,0.0031,0.2779,-9999,10,25
76.52426,-44.78786,0.00316,0.00329,0.003225,0.2709,-9999,10,25
76.52426,-44.78786,0.00329,0.00342,0.003355,0.2602,-9999,10,25
76.52426,-44.78786,0.00342,0.00354,0.00348,0.2509,-9999,10,25
76.52426,-44.78786,0.00354,0.00367,0.003605,0.2519,-9999,10,25
76.52426,-44.78786,0.00367,0.0038,0.003735,0.2547,-9999,10,25
76.52426,-44.78786,0.0038,0.00392,0.00386,0.2635,-9999,10,25
76.52426,-44.78786,0.00392,0.00405,0.003985,0.2642,-9999,10,25
76.52426,-44.78786,0.00405,0.00418,0.004115,0.2617,-9999,10,25
76.52426,-44.78786,0.00418,0.0043,0.00424,0.2584,-9999,10,25
76.52426,-44.78786,0.0043,0.00443,0.004365,0.2574,-9999,10,25
76.52426,-44.78786,0.00443,0.00456,0.004495,0.2565,-9999,10,25
76.52426,-44.78786,0.00456,0.00468,0.00462,0.2558,-9999,10,25
76.52426,-44.78786,0.00468,0.00481,0.004745,0.254,-9999,10,25
76.52426,-44.78786,0.00481,0.00494,0.004875,0.2549,-9999,10,25
76.52426,-44.78786,0.00494,0.00506,0.005,0.2559,-9999,10,25
76.52426,-44.78786,0.00506,0.00519,0.005125,0.256,-9999,10,25
76.52426,-44.78786,0.00519,0.00531,0.00525,0.2582,-9999,10,25
76.52426,-44.78786,0.00531,0.00544,0.005375,0.2646,-9999,10,25
76.52426,-44.78786,0.00544,0.00557,0.005505,0.2682,-9999,10,25
76.52426,-44.78786,0.00557,0.00569,0.00563,0.2612,-9999,10,25
76.52426,-44.78786,0.00569,0.00582,0.005755,0.2612,-9999,10,25
76.52426,-44.78786,0.00582,0.00595,0.005885,0.2629,-9999,10,25
76.52426,-44.78786,0.00595,0.00607,0.00601,0.2652,-9999,10,25
76.52426,-44.78786,0.00607,0.0062,0.006135,0.2706,-9999,10,25
76.52426,-44.78786,0.0062,0.00633,0.006265,0.274,-9999,10,25
76.52426,-44.78786,0.00633,0.00645,0.00639,0.2903,-9999,10,25
76.52426,-44.78786,0.00645,0.00658,0.006515,0.305,-9999,10,25
76.52426,-44.78786,0.00658,0.00671,0.006645,0.3164,-9999,10,25
76.52426,-44.78786,0.00671,0.00683,0.00677,0.3303,-9999,10,25
76.52426,-44.78786,0.00683,0.00696,0.006895,0.3475,-9999,10,25
76.52426,-44.78786,0.00696,0.00709,0.007025,0.3564,-9999,10,25
76.52426,-44.78786,0.00709,0.00721,0.00715,0.3656,-9999,10,25
76.52426,-44.78786,0.00721,0.00734,0.007275,0.3674,-9999,10,25
76.52426,-44.78786,0.00734,0.00747,0.007405,0.3628,-9999,10,25
76.52426,-44.78786,0.00747,0.00759,0.00753,0.3572,-9999,10,25
76.52426,-44.78786,0.00759,0.00772,0.007655,0.3536,-9999,10,25
76.52426,-44.78786,0.00772,0.00784,0.00778,0.351,-9999,10,25
76.52426,-44.78786,0.00784,0.00797,0.007905,0.3447,-9999,10,25
76.52426,-44.78786,0.00797,0.0081,0.008035,0.3411,-9999,10,25
76.52426,-44.78786,0.0081,0.00822,0.00816,0.3342,-9999,10,25
76.52426,-44.78786,0.00822,0.00835,0.008285,0.3304,-9999,10,25
76.52426,-44.78786,0.00835,0.00848,0.008415,0.3275,-9999,10,25
76.52426,-44.78786,0.00848,0.0086,0.00854,0.3213,-9999,10,25
76.52426,-44.78786,0.0086,0.00873,0.008665,0.3174,-9999,10,25
76.52426,-44.78786,0.00873,0.00886,0.008795,0.3159,-9999,10,25
76.52426,-44.78786,0.00886,0.00898,0.00892,0.3156,-9999,10,25
76.52426,-44.78786,0.00898,0.00911,0.009045,0.3161,-9999,10,25
76.52426,-44.78786,0.00911,0.00924,0.009175,0.3188,-9999,10,25
76.52426,-44.78786,0.00924,0.00936,0.0093,0.3186,-9999,10,25
76.52426,-44.78786,0.00936,0.00949,0.009425,0.319,-9999,10,25
76.52426,-44.78786,0.00949,0.00962,0.009555,0.3197,-9999,10,25
76.52426,-44.78786,0.00962,0.00974,0.00968,0.3205,-9999,10,25
76.52426,-44.78786,0.00974,0.00987,0.009805,0.3216,-9999,10,25
76.52426,-44.78786,0.00987,0.01,0.009935,0.3224,-9999,10,25
76.52426,-44.78786,0.01,0.01012,0.01006,0.3206,-9999,10,25
76.52426,-44.78786,0.01012,0.01025,0.010185,0.3211,-9999,10,25
76.52426,-44.78786,0.01025,0.01038,0.010315,0.3218,-9999,10,25
76.52426,-44.78786,0.01038,0.0105,0.01044,0.3226,-9999,10,25
76.52426,-44.78786,0.0105,0.01063,0.010565,0.3225,-9999,10,25
76.52426,-44.78786,0.01063,0.01076,0.010695,0.3231,-9999,10,25
76.52426,-44.78786,0.01076,0.01088,0.01082,0.3227,-9999,10,25
76.52426,-44.78786,0.01088,0.01101,0.010945,0.3224,-9999,10,25
76.52426,-44.78786,0.01101,0.01114,0.011075,0.3216,-9999,10,25
76.52426,-44.78786,0.01114,0.01126,0.0112,0.3226,-9999,10,25
76.52426,-44.78786,0.01126,0.01139,0.011325,0.3227,-9999,10,25
76.52426,-44.78786,0.01139,0.01152,0.011455,0.3233,-9999,10,25
76.52426,-44.78786,0.01152,0.01164,0.01158,0.3236,-9999,10,25
76.52426,-44.78786,0.01164,0.01177,0.011705,0.3229,-9999,10,25
76.52426,-44.78786,0.01177,0.01189,0.01183,0.3241,-9999,10,25
76.52426,-44.78786,0.01189,0.01202,0.011955,0.3228,-9999,10,25
76.52426,-44.78786,0.01202,0.01215,0.012085,0.3247,-9999,10,25
76.52426,-44.78786,0.01215,0.01227,0.01221,0.3257,-9999,10,25
76.52426,-44.78786,0.01227,0.0124,0.012335,0.3256,-9999,10,25
76.52426,-44.78786,0.0124,0.01253,0.012465,0.3266,-9999,10,25
76.52426,-44.78786,0.01253,0.01265,0.01259,0.3266,-9999,10,25
76.52426,-44.78786,0.01265,0.01278,0.012715,0.3273,-9999,10,25
76.52426,-44.78786,0.01278,0.01291,0.012845,0.3278,-9999,10,25
76.52426,-44.78786,0.01291,0.01303,0.01297,0.3274,-9999,10,25
76.52426,-44.78786,0.01303,0.01316,0.013095,0.3284,-9999,10,25
76.52426,-44.78786,0.01316,0.01329,0.013225,0.3286,-9999,10,25
76.52426,-44.78786,0.01329,0.01341,0.01335,0.3279,-9999,10,25
76.52426,-44.78786,0.01341,0.01354,0.013475,0.3283,-9999,10,25
76.52426,-44.78786,0.01354,0.01367,0.013605,0.3279,-9999,10,25
76.52426,-44.78786,0.01367,0.01379,0.01373,0.3291,-9999,10,25
